# This file produced from the IAEA-NDS ENDF servlet (tabulated cross section, pointwise output, Lin-Lin interpolation).
#LIBRARY    ENDF/B-VI
#REACTION   HE-3(D,P)HE-4,SIG
#NUCLEUS    He-3
#MF         3
#MT         103
#EN-MIN     1187.5
#EN-MAX     3e+07
#E,eV        Sig,b
4.10410e-03 2.40295E-16
4.12210e-03 2.63312E-16
4.14010e-03 2.88359E-16
4.15810e-03 3.156E-16
4.17610e-03 3.45208E-16
4.19410e-03 3.77373E-16
4.21210e-03 4.12296E-16
4.23110e-03 4.52389E-16
4.25010e-03 4.96066E-16
4.26910e-03 5.4362E-16
4.28810e-03 5.95365E-16
4.30710e-03 6.51636E-16
4.32610e-03 7.12793E-16
4.34510e-03 7.79225E-16
4.36410e-03 8.51343E-16
4.38410e-03 9.33889E-16
4.40410e-03 1.02378E-15
4.42410e-03 1.12161E-15
4.44410e-03 1.22803E-15
4.46410e-03 1.3437E-15
4.48410e-03 1.46938E-15
4.50410e-03 1.60583E-15
4.52510e-03 1.76163E-15
4.54610e-03 1.93128E-15
4.56710e-03 2.11591E-15
4.58810e-03 2.31671E-15
4.60910e-03 2.53496E-15
4.63010e-03 2.77205E-15
4.65210e-03 3.04224E-15
4.67410e-03 3.33653E-15
4.69610e-03 3.65687E-15
4.71810e-03 4.00535E-15
4.74010e-03 4.38422E-15
4.76210e-03 4.79586E-15
4.78510e-03 5.26405E-15
4.80810e-03 5.77402E-15
4.83110e-03 6.32913E-15
4.85410e-03 6.93301E-15
4.87710e-03 7.58952E-15
4.90010e-03 8.30281E-15
4.92410e-03 9.11246E-15
4.94810e-03 9.99416E-15
4.97210e-03 1.09537E-14
4.99610e-03 1.19973E-14
5.02010e-03 1.31316E-14
5.04410e-03 1.43637E-14
5.06910e-03 1.57594E-14
5.09410e-03 1.72787E-14
5.11910e-03 1.89315E-14
5.14410e-03 2.07282E-14
5.16910e-03 2.26804E-14
5.19510e-03 2.48883E-14
5.22110e-03 2.7292E-14
5.24710e-03 2.99068E-14
5.27310e-03 3.27496E-14
5.29910e-03 3.58383E-14
5.32610e-03 3.93264E-14
5.35310e-03 4.31231E-14
5.38010e-03 4.7253E-14
5.40710e-03 5.17422E-14
5.43510e-03 5.68073E-14
5.46310e-03 6.23227E-14
5.49110e-03 6.83242E-14
5.51910e-03 7.48502E-14
5.54710e-03 8.19418E-14
5.57610e-03 8.99299E-14
5.60510e-03 9.86241E-14
5.63410e-03 1.0808E-13
5.66310e-03 1.18358E-13
5.69310e-03 1.29923E-13
5.72310e-03 1.42512E-13
5.75310e-03 1.56205E-13
5.78310e-03 1.7109E-13
5.81410e-03 1.8782E-13
5.84510e-03 2.06031E-13
5.87610e-03 2.25838E-13
5.90710e-03 2.47367E-13
5.93910e-03 2.71539E-13
5.97110e-03 2.97844E-13
6.00310e-03 3.26452E-13
6.03510e-03 3.57541E-13
6.06810e-03 3.92405E-13
6.10110e-03 4.30336E-13
6.13410e-03 4.71575E-13
6.16810e-03 5.17795E-13
6.20210e-03 5.681E-13
6.23610e-03 6.2281E-13
6.27010e-03 6.82267E-13
6.30510e-03 7.48819E-13
6.34010e-03 8.21217E-13
6.37510e-03 8.99916E-13
6.41110e-03 9.8795E-13
6.44710e-03 1.08373E-12
6.48310e-03 1.18786E-12
6.52010e-03 1.30427E-12
6.55710e-03 1.43092E-12
6.59410e-03 1.56863E-12
6.63210e-03 1.72245E-12
6.67010e-03 1.88982E-12
6.70810e-03 2.07178E-12
6.74710e-03 2.27489E-12
6.78610e-03 2.49586E-12
6.82510e-03 2.73606E-12
6.86510e-03 3.00396E-12
6.90510e-03 3.29536E-12
6.94610e-03 3.62034E-12
6.98710e-03 3.974E-12
7.02810e-03 4.35857E-12
7.07010e-03 4.78707E-12
7.11210e-03 5.25323E-12
7.15410e-03 5.75997E-12
7.19710e-03 6.32406E-12
7.24010e-03 6.93748E-12
7.28410e-03 7.62019E-12
7.32810e-03 8.36287E-12
7.37210e-03 9.17012E-12
7.41710e-03 1.00676E-11
7.46210e-03 1.10434E-11
7.50810e-03 1.21281E-11
7.55410e-03 1.33077E-11
7.60110e-03 1.46184E-11
7.64810e-03 1.60441E-11
7.69610e-03 1.76278E-11
7.74410e-03 1.93506E-11
7.79310e-03 2.12636E-11
7.84210e-03 2.33447E-11
7.89210e-03 2.56549E-11
7.94210e-03 2.81679E-11
7.99310e-03 3.09563E-11
8.04410e-03 3.39896E-11
8.09610e-03 3.73538E-11
8.14810e-03 4.1013E-11
8.20110e-03 4.50695E-11
8.25410e-03 4.94811E-11
8.30810e-03 5.43693E-11
8.36210e-03 5.96846E-11
8.41710e-03 6.55708E-11
8.47210e-03 7.197E-11
8.52810e-03 7.90527E-11
8.58510e-03 8.68942E-11
8.64210e-03 9.5422E-11
8.70010e-03 1.04857E-10
8.75810e-03 1.15115E-10
8.81710e-03 1.26458E-10
8.87710e-03 1.39003E-10
8.93710e-03 1.52643E-10
8.99810e-03 1.67719E-10
9.06010e-03 1.84384E-10
9.12210e-03 2.02505E-10
9.18510e-03 2.22521E-10
9.24910e-03 2.44635E-10
9.31310e-03 2.68677E-10
9.37810e-03 2.95217E-10
9.44410e-03 3.24518E-10
9.51010e-03 3.56368E-10
9.57710e-03 3.91501E-10
9.64510e-03 4.3026E-10
9.71410e-03 4.73022E-10
9.78410e-03 5.20201E-10
9.85410e-03 5.71493E-10
9.92510e-03 6.2803E-10
9.99710e-03 6.90352E-10
1.00701e-02 7.59049E-10
1.01401e-02 8.30515E-10
1.02101e-02 9.07848E-10
1.02801e-02 9.91456E-10
1.03501e-02 1.08177E-09
1.04201e-02 1.17925E-09
1.04901e-02 1.28438E-09
1.05601e-02 1.39766E-09
1.06301e-02 1.51962E-09
1.07101e-02 1.67038E-09
1.07901e-02 1.83411E-09
1.08701e-02 2.01175E-09
1.09501e-02 2.20431E-09
1.10301e-02 2.41283E-09
1.11101e-02 2.63843E-09
1.11901e-02 2.88229E-09
1.12701e-02 3.14565E-09
1.13501e-02 3.42981E-09
1.14301e-02 3.73616E-09
1.15201e-02 4.10913E-09
1.16101e-02 4.51419E-09
1.17001e-02 4.95366E-09
1.17901e-02 5.42998E-09
1.18801e-02 5.94572E-09
1.19701e-02 6.50361E-09
1.20601e-02 7.1065E-09
1.21501e-02 7.75743E-09
1.22401e-02 8.45957E-09
1.23401e-02 9.30387E-09
1.24401e-02 1.02204E-08
1.25401e-02 1.12142E-08
1.26401e-02 1.22907E-08
1.27401e-02 1.34556E-08
1.28401e-02 1.4715E-08
1.29401e-02 1.6075E-08
1.30501e-02 1.76953E-08
1.31601e-02 1.94548E-08
1.32701e-02 2.13633E-08
1.33801e-02 2.34311E-08
1.34901e-02 2.56693E-08
1.36001e-02 2.80893E-08
1.37101e-02 3.07031E-08
1.38301e-02 3.37905E-08
1.39501e-02 3.71411E-08
1.40701e-02 4.07732E-08
1.41901e-02 4.47059E-08
1.43101e-02 4.89594E-08
1.44301e-02 5.35552E-08
1.45601e-02 5.89459E-08
1.46901e-02 6.47941E-08
1.48201e-02 7.11313E-08
1.49501e-02 7.79905E-08
1.50801e-02 8.54062E-08
1.52201e-02 9.40566E-08
1.53601e-02 1.03442E-07
1.55001e-02 1.13614E-07
1.56401e-02 1.24623E-07
1.57801e-02 1.36526E-07
1.59301e-02 1.50337E-07
1.60801e-02 1.65314E-07
1.62301e-02 1.81537E-07
1.63801e-02 1.99088E-07
1.65401e-02 2.19369E-07
1.67001e-02 2.41369E-07
1.68601e-02 2.65203E-07
1.70201e-02 2.90991E-07
1.71901e-02 3.20674E-07
1.73601e-02 3.52864E-07
1.75301e-02 3.87728E-07
1.77001e-02 4.25439E-07
1.78801e-02 4.68676E-07
1.80601e-02 5.15536E-07
1.82401e-02 5.66255E-07
1.84301e-02 6.24251E-07
1.86201e-02 6.87128E-07
1.88101e-02 7.55201E-07
1.90101e-02 8.32838E-07
1.92101e-02 9.17006E-07
1.94101e-02 1.00813E-06
1.96201e-02 1.11177E-06
1.98301e-02 1.2241E-06
2.00401e-02 1.34568E-06
2.02601e-02 1.48358E-06
2.04801e-02 1.63297E-06
2.07001e-02 1.79455E-06
2.09301e-02 1.97734E-06
2.11601e-02 2.17518E-06
2.14001e-02 2.39869E-06
2.16401e-02 2.64071E-06
2.18901e-02 2.91374E-06
2.21401e-02 3.20945E-06
2.24001e-02 3.54257E-06
2.26601e-02 3.90339E-06
2.29301e-02 4.30923E-06
2.32001e-02 4.74876E-06
2.34801e-02 5.24235E-06
2.37601e-02 5.77678E-06
2.40501e-02 6.37597E-06
2.43401e-02 7.02445E-06
2.46401e-02 7.75031E-06
2.49401e-02 8.53545E-06
2.52501e-02 9.41276E-06
2.55701e-02 1.03929E-05
2.58901e-02 1.14533E-05
2.62201e-02 1.26358E-05
2.65601e-02 1.39542E-05
2.69101e-02 1.54237E-05
2.72601e-02 1.70139E-05
2.76201e-02 1.87827E-05
2.79901e-02 2.07496E-05
2.83701e-02 2.29359E-05
2.87501e-02 2.53004E-05
2.91401e-02 2.79227E-05
2.95401e-02 3.08299E-05
2.99501e-02 3.40512E-05
3.03701e-02 3.76187E-05
3.08001e-02 4.15674E-05
3.12401e-02 4.59354E-05
3.16901e-02 5.0764E-05
3.21501e-02 5.60983E-05
3.26201e-02 6.19872E-05
3.31101e-02 6.86242E-05
3.36101e-02 7.59483E-05
3.41201e-02 8.40239E-05
3.46401e-02 9.29202E-05
3.51801e-02 0.000102904
3.57301e-02 0.000113894
3.62901e-02 0.000125979
3.68701e-02 0.000139498
3.74701e-02 0.00015461
3.80801e-02 0.000171209
3.87101e-02 0.000189725
3.93601e-02 0.000210364
4.00201e-02 0.000232993
4.07001e-02 0.000258159
4.14001e-02 0.00028612
4.21201e-02 0.000317159
4.28601e-02 0.000351582
4.36301e-02 0.000390242
4.44201e-02 0.000433057
4.52301e-02 0.000480421
4.60701e-02 0.000533412
4.69301e-02 0.000591932
4.78201e-02 0.00065724
4.87401e-02 0.000730044
4.96901e-02 0.000811111
5.06701e-02 0.000901274
5.16801e-02 0.00100143
5.27301e-02 0.00111366
5.38101e-02 0.00123805
5.49301e-02 0.00137703
5.60901e-02 0.00153211
5.72901e-02 0.0017049
5.85301e-02 0.00189717
5.98201e-02 0.00211252
6.11601e-02 0.00235336
6.25501e-02 0.00262231
6.39901e-02 0.00292217
6.54901e-02 0.00325828
6.70501e-02 0.00363439
6.86701e-02 0.00405455
7.03501e-02 0.00452309
7.21001e-02 0.00504778
7.39301e-02 0.0056376
7.58301e-02 0.00629577
7.78101e-02 0.00703268
7.98801e-02 0.00786026
8.20401e-02 0.00878778
8.43001e-02 0.00982994
8.66601e-02 0.0109984
8.91301e-02 0.0123112
9.17101e-02 0.0137828
9.44101e-02 0.0154351
9.72401e-02 0.0172929
1.00200e-01 0.0193769
1.03300e-01 0.021717
1.06500e-01 0.024305
1.09900e-01 0.0272502
1.13400e-01 0.0304966
1.17100e-01 0.0341692
1.21000e-01 0.0383133
1.25100e-01 0.0429772
1.29400e-01 0.048213
1.33900e-01 0.0540766
1.38600e-01 0.0606276
1.43600e-01 0.0680838
1.48800e-01 0.0763798
1.54300e-01 0.0857653
1.60100e-01 0.0963539
1.66200e-01 0.108267
1.72600e-01 0.121634
1.79400e-01 0.136822
1.86600e-01 0.154019
1.94200e-01 0.173422
2.02300e-01 0.19551
2.11000e-01 0.220836
2.20400e-01 0.250016
2.30800e-01 0.284396
2.42500e-01 0.325491
2.56400e-01 0.377159
2.76300e-01 0.454899
3.07000e-01 0.57626
3.23600e-01 0.637935
3.37900e-01 0.686298
3.51100e-01 0.72567
3.63800e-01 0.757868
3.76300e-01 0.783541
3.88800e-01 0.802946
4.01500e-01 0.816212
4.14600e-01 0.823319
4.28400e-01 0.824109
4.43200e-01 0.818178
4.59500e-01 0.804816
4.78200e-01 0.782583
5.01100e-01 0.748361
5.36400e-01 0.687722
5.89900e-01 0.593612
6.22700e-01 0.540166
6.52300e-01 0.496093
6.80700e-01 0.45771
7.08700e-01 0.423499
7.36800e-01 0.392547
7.65300e-01 0.364307
7.94400e-01 0.338413
8.20925e-01 0.317232
8.47082e-01 0.298665
8.74983e-01 0.281183
9.02883e-01 0.265856
9.32527e-01 0.251655
9.63916e-01 0.238638
9.96753e-01 0.226874
1.03255e+00 0.215876
1.07059e+00 0.205953
1.11310e+00 0.196585
1.16457e+00 0.186987
1.24542e+00 0.173861
1.32711e+00 0.161925
1.40499e+00 0.15177
1.48348e+00 0.142683
1.56572e+00 0.134297
1.64795e+00 0.126962
1.73152e+00 0.120471
1.82112e+00 0.11446
1.91478e+00 0.109079
2.01659e+00 0.104093
2.13314e+00 0.0992349
2.26119e+00 0.094661
2.39457e+00 0.0906175
2.53863e+00 0.086963
2.69421e+00 0.0837054
2.86614e+00 0.0807814
3.04762e+00 0.0783371
3.25776e+00 0.0761586
3.51565e+00 0.0741498
3.92685e+00 0.0716747
4.37113e+00 0.0695891
4.86434e+00 0.067852
5.99750e+00 0.0647142
6.53163e+00 0.0627132
7.20359e+00 0.0596345
8.92857e+00 0.0510177
9.61449e+00 0.0479105
1.02635e+01 0.0453142
1.09589e+01 0.0428723
1.17007e+01 0.0406011
1.24888e+01 0.0385004
1.34160e+01 0.0363465
1.46146e+01 0.0338948
1.58708e+01 0.0315959
1.71269e+01 0.0295468
1.83831e+01 0.0277267
1.96392e+01 0.026115
2.09739e+01 0.0246077
2.23202e+01 0.0232767
2.37753e+01 0.0220212
2.53921e+01 0.0208066
2.73323e+01 0.0195319
3.00000e+01 0.0179546
//
#-------------------------------------------------------------------------------
